Rank,Trainer,Wins,2nds,3rds,Stakes,Starts,G&L,SR
185,Sarah_Worker,2,0,0,"$24,900",8,0,4.0
186,Richard_French,2,0,0,"$49,170",6,0,3.0
187,Malcolm_Hill,2,0,0,"$24,820",5,0,2.5
188,Sarah_Hurrell,2,0,0,"$35,120",4,0,2.0
189,John_&_Karen_Parsons,1,7,3,"$67,050",26,0,26.0
190,Matthew_Eales,1,4,5,"$80,400",25,0,25.0
191,Ken_Harrison,1,3,3,"$68,045",23,0,23.0
192,Richard_Didham,1,3,1,"$68,145",25,0,25.0
193,Tommy_Beckett,1,3,0,"$31,150",8,0,8.0
194,Roger_Allen,1,2,6,"$46,340",35,0,35.0
195,Catherine_Cameron,1,2,5,"$55,145",54,0,54.0
196,Stephen_Nickalls,1,2,3,"$78,075",30,0,30.0
197,Suzy_Gordon,1,2,2,"$56,870",38,0,38.0
198,Mike_McCann,1,2,1,"$42,140",36,0,36.0
199,Peter_&_Jessica_Brosnan,1,2,1,"$50,550",28,0,28.0
200,Jason_Coutts,1,2,1,"$30,175",14,0,14.0
201,Andrea_Dickson,1,2,1,"$34,545",7,0,7.0
202,Rosie_Buchanan,1,2,0,"$37,220",13,0,13.0
203,Chris_Bothwell,1,2,0,"$35,050",8,0,8.0
204,Alex_Oliveira,1,2,0,"$25,800",7,0,7.0
205,Mark_Brooks,1,1,5,"$34,985",32,0,32.0
206,Bevan_&_Robyn_Wilson,1,1,5,"$40,860",22,0,22.0
207,Nayton_Mitchell,1,1,4,"$35,745",29,0,29.0
208,Harvey_Wilson,1,1,3,"$28,540",8,0,8.0
209,Maxim_Van_Lierde,1,1,2,"$26,790",23,0,23.0
210,Aaron_Bidlake,1,1,2,"$22,575",17,0,17.0
211,Kirsty_Lawrence,1,1,2,"$71,760",15,0,15.0
212,Bruce_Smith,1,1,2,"$31,040",8,0,8.0
213,Amber_Sims,1,1,2,"$50,155",7,0,7.0
214,Peter_Corbett,1,1,1,"$27,460",42,0,42.0
215,Meg_Cunneen,1,1,1,"$30,485",29,0,29.0
216,Alex_Forbes,1,1,1,"$24,375",16,0,16.0
217,Karen_Fursdon,1,1,1,"$25,130",16,0,16.0
218,Clare_Dravitzki,1,1,1,"$15,835",12,0,12.0
219,Joshua_Lavelle_&_Sacha_Rennie,1,1,1,"$20,250",10,0,10.0
220,Reece_Cole,1,1,1,"$19,850",9,0,9.0
221,Murray_Garrett,1,1,0,"$24,220",26,0,26.0
222,Allan_Smith,1,1,0,"$20,170",13,0,13.0
223,Stuart_Manning,1,1,0,"$24,440",13,0,13.0
224,Deborah_Parry,1,1,0,"$34,990",12,0,12.0
225,Paul_Pascoe,1,1,0,"$18,350",11,0,11.0
226,Kelly_Shearing,1,1,0,"$16,585",8,0,8.0
227,Tony_Devcich,1,1,0,"$41,705",8,0,8.0
228,Michael_Wallace,1,1,0,"$21,235",6,0,6.0
229,Todd_McDonald,1,1,0,"$20,285",5,0,5.0
230,John_Morell,1,1,0,"$14,060",4,0,4.0
231,Trent_Yesberg,1,0,4,"$22,490",21,0,21.0
232,Bruce_Manssen,1,0,2,"$16,230",8,0,8.0
233,Ngaire_Fraser,1,0,2,"$19,810",3,0,3.0
234,Gavin_Sharrock,1,0,1,"$45,715",24,0,24.0
235,Ray_Fleming,1,0,1,"$17,960",12,0,12.0
236,Ken_Duncan,1,0,1,"$23,290",11,0,11.0
237,Jim_Sweetensen,1,0,1,"$20,745",10,0,10.0
238,Raymond_Connors,1,0,1,"$18,970",9,0,9.0
239,Nigel_Tiley,1,0,1,"$26,705",7,0,7.0
240,Thomas_Russell,1,0,1,"$33,700",6,0,6.0
